model,split,q,pop_threshold,hparams_sha,n_train_fit,n_val,n_test,train_pos_rate,test_pos_rate,n_test_unseen_genre,f1_threshold,bootstrap_unit,n_degenerate_resamples,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,roc_auc_ci_lower_artist,roc_auc_ci_upper_artist,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,pr_auc_ci_lower_artist,pr_auc_ci_upper_artist,f1_frozen,f1_frozen_ci_lower,f1_frozen_ci_upper,f1_frozen_ci_lower_artist,f1_frozen_ci_upper_artist,f1_at_05,f1_at_05_ci_lower,f1_at_05_ci_upper,f1_at_05_ci_lower_artist,f1_at_05_ci_upper_artist,brier,brier_ci_lower,brier_ci_upper,brier_ci_lower_artist,brier_ci_upper_artist,f1_oracle
genre_prior,random,0.2,53.0,3c93162a0520,52471,13118,16398,0.21064507768070864,0.21216001951457494,6,0.3163265306122449,row,0,0.8550300954266508,0.8488319294870407,0.8615434851110639,0.8464612108186712,0.8632359056238367,0.6125428477477884,0.5952512943333701,0.6295002441247192,0.5914848775594737,0.632203827818928,0.586892575597129,0.5747013511270891,0.5992875253244455,0.5681051657813757,0.6036771406332417,0.47552972060753795,0.45767766894642037,0.4930233434725059,0.4520973799095564,0.49844687635168616,0.11751326609688317,0.11458513797678932,0.12035073246606624,0.1132161241115838,0.12185667610332461,0.5874855156431055
logistic,random,0.2,53.0,3c93162a0520,52471,13118,16398,0.21064507768070864,0.21216001951457494,6,0.48893163139639884,row,0,0.6465512079921504,0.6366951599645423,0.6562953162924678,0.6344361001087113,0.6574376482592885,0.3082094192273642,0.29585675096546504,0.32263502854178194,0.29249812264196706,0.32548707074651156,0.3947325372157697,0.3841794775831137,0.40608435152139577,0.3799849411301821,0.40864867684690315,0.3975293814875182,0.3867723559062778,0.40897651266011364,0.38257718001031793,0.41176005285387995,0.23354156763339037,0.23159088268265576,0.2352951009597174,0.23124048854096882,0.23604178221481809,0.3982208763130501
random_forest,random,0.2,53.0,3c93162a0520,52471,13118,16398,0.21064507768070864,0.21216001951457494,6,0.3387301587301587,row,0,0.715459944210729,0.7068651407677715,0.7250322529321154,0.7052513437323268,0.7263294537614352,0.39579284338167886,0.38040415115599674,0.4130284235220267,0.37728802644495124,0.4151337326407336,0.44389256806475347,0.4325744898974492,0.45503254547283933,0.4297398165973366,0.45763478880682934,0.35716694772344015,0.3419313455546288,0.37378104598767503,0.3403278973719016,0.37381761097562266,0.1645153879663414,0.1620886838351173,0.16700737362356086,0.16104007793355943,0.16811671037985607,0.4478505990133897
lightgbm,random,0.2,53.0,3c93162a0520,52471,13118,16398,0.21064507768070864,0.21216001951457494,6,0.5117881203024155,row,0,0.7211896326818074,0.7122389889119191,0.730441387874309,0.7108694360860643,0.7319950366619506,0.39518705928717135,0.3798652623054337,0.4135497957033024,0.3768331940393064,0.4144723974148405,0.4496805111821086,0.43792843167382334,0.46197520787947777,0.4346921721113819,0.46459016402671627,0.4506172839506173,0.43938733022367965,0.4625645508614791,0.4362370731605614,0.4647547596148598,0.20339700889945525,0.20093533220418044,0.20575535593751498,0.2002543970840738,0.20659624552841968,0.45183819963139005
xgboost,random,0.2,53.0,3c93162a0520,52471,13118,16398,0.21064507768070864,0.21216001951457494,6,0.5042863488197327,row,0,0.7180802128351812,0.7087326159815176,0.7271906787973804,0.706925199226748,0.729116860758019,0.3914268551298247,0.3757500444520329,0.40890670277525537,0.37353422671822073,0.41047699790892556,0.44689628705746903,0.43558171186024863,0.45823807794112076,0.43266570077614847,0.46155345146618854,0.4460254221210396,0.4347795004413721,0.4571000471517225,0.4317601656176607,0.46054969358602693,0.2054896503686905,0.20307477563619614,0.2077946439385414,0.2024283315986395,0.20845460928976536,0.4469616972256888
genre_prior,grouped,0.2,53.0,3c93162a0520,51763,13419,16805,0.20685158479334786,0.22683725081820888,3,0.27906976744186046,artist,0,0.8360976557802656,0.8179002337621999,0.8526269118335835,0.8179002337621999,0.8526269118335835,0.6011490998798811,0.570787682833544,0.6341826692429845,0.570787682833544,0.6341826692429845,0.5875147738261524,0.5562495638031792,0.6163993115292448,0.5562495638031792,0.6163993115292448,0.44945378879833536,0.40962952613307824,0.4891706211781398,0.40962952613307824,0.4891706211781398,0.1280066612785984,0.11908775926156125,0.138270201622317,0.11908775926156125,0.138270201622317,0.5936054281895754
logistic,grouped,0.2,53.0,3c93162a0520,51763,13419,16805,0.20685158479334786,0.22683725081820888,3,0.44996641645864793,artist,0,0.6329297985863565,0.6147680040173947,0.6493267539545239,0.6147680040173947,0.6493267539545239,0.31272092244798433,0.2874677639998276,0.3426792056016996,0.2874677639998276,0.3426792056016996,0.4067467203442771,0.383609351509034,0.4303993943357782,0.383609351509034,0.4303993943357782,0.40500663129973474,0.38243507925561,0.42728862486476515,0.38243507925561,0.42728862486476515,0.23571405155987302,0.23202366564314048,0.2396573406619436,0.23202366564314048,0.2396573406619436,0.409524503021918
random_forest,grouped,0.2,53.0,3c93162a0520,51763,13419,16805,0.20685158479334786,0.22683725081820888,3,0.355,artist,0,0.6866900302035264,0.6708164463002191,0.7025462098661351,0.6708164463002191,0.7025462098661351,0.38204279303294747,0.3589053421081521,0.4078262282006176,0.3589053421081521,0.4078262282006176,0.43477431052581356,0.41332863708332596,0.45681367590329225,0.41332863708332596,0.45681367590329225,0.3290480065093572,0.3073630479332234,0.3511687128422094,0.3073630479332234,0.3511687128422094,0.1724118095665455,0.16625246384008405,0.1794016560410184,0.16625246384008405,0.1794016560410184,0.4403625182068296
lightgbm,grouped,0.2,53.0,3c93162a0520,51763,13419,16805,0.20685158479334786,0.22683725081820888,3,0.49878194978213736,artist,0,0.6918230003418582,0.6748333743221331,0.7081505567294679,0.6748333743221331,0.7081505567294679,0.3869406650725107,0.3627890948227759,0.41374209610003776,0.3627890948227759,0.41374209610003776,0.43804034582132567,0.41717208995769733,0.458874713085726,0.41717208995769733,0.458874713085726,0.4371910845845379,0.4160322663424504,0.4579074157386159,0.4160322663424504,0.4579074157386159,0.20931483543512927,0.20437096872629723,0.21432744895649747,0.20437096872629723,0.21432744895649747,0.4449987929508329
xgboost,grouped,0.2,53.0,3c93162a0520,51763,13419,16805,0.20685158479334786,0.22683725081820888,3,0.49866634607315063,artist,0,0.6907646372503913,0.6738613734853628,0.7070414504126595,0.6738613734853628,0.7070414504126595,0.3836802936892269,0.3599842658328137,0.40911368874115106,0.3599842658328137,0.40911368874115106,0.44082894019269225,0.41921597642170083,0.4624032649931414,0.41921597642170083,0.4624032649931414,0.4401896425966448,0.41851328878133137,0.4618153799722328,0.41851328878133137,0.4618153799722328,0.21095003187656403,0.20600225925445556,0.21607318706810474,0.20600225925445556,0.21607318706810474,0.4453316953316953
