model,split,genre,n,n_positive,auc
lightgbm,random,chicago-house,180,1,0.9720670391061452
lightgbm,random,sleep,150,44,0.9654802744425386
lightgbm,random,comedy,206,1,0.9463414634146341
lightgbm,random,classical,136,7,0.8726467331118493
lightgbm,random,ska,150,2,0.8175675675675675
lightgbm,random,k-pop,189,120,0.8006642512077294
lightgbm,random,pop-film,162,149,0.7909137842023748
lightgbm,random,bluegrass,210,7,0.7818437719915552
lightgbm,random,samba,123,1,0.7540983606557377
lightgbm,random,trance,122,14,0.7486772486772487
lightgbm,random,black-metal,165,1,0.7439024390243902
lightgbm,random,latino,63,28,0.7357142857142858
lightgbm,random,afrobeat,175,2,0.7196531791907514
lightgbm,random,turkish,158,3,0.7182795698924731
lightgbm,random,drum-and-bass,168,17,0.7171795870666147
lightgbm,random,show-tunes,149,32,0.7043269230769231
lightgbm,random,alt-rock,151,54,0.6951126384116074
lightgbm,random,dubstep,62,2,0.6916666666666667
lightgbm,random,happy,226,7,0.6914546640574037
lightgbm,random,j-dance,152,6,0.6883561643835616
lightgbm,random,piano,138,66,0.6801346801346801
lightgbm,random,power-pop,178,11,0.6782798040283071
lightgbm,random,hip hop,23,18,0.6777777777777778
lightgbm,random,french,179,53,0.6662174303683738
lightgbm,random,hardcore,168,35,0.6655209452201933
lightgbm,random,electro,73,48,0.6625
lightgbm,random,industrial,144,36,0.6615226337448559
lightgbm,random,ambient,184,69,0.6555765595463138
lightgbm,random,spanish,167,59,0.655367231638418
lightgbm,random,latin,108,21,0.6507936507936508
lightgbm,random,metal,41,29,0.6494252873563219
lightgbm,random,r-n-b,100,14,0.6470099667774086
lightgbm,random,progressive-house,147,67,0.6425373134328358
lightgbm,random,world-music,159,25,0.6361194029850746
lightgbm,random,hard-rock,136,53,0.6355989997726756
lightgbm,random,j-rock,87,7,0.6321428571428571
lightgbm,random,disney,187,12,0.6314285714285715
lightgbm,random,hardstyle,170,19,0.6301847333565702
lightgbm,random,opera,157,4,0.6290849673202614
lightgbm,random,j-idol,182,2,0.6277777777777778
lightgbm,random,funk,127,18,0.627420998980632
lightgbm,random,edm,109,71,0.6245366938472943
lightgbm,random,punk-rock,116,18,0.6241496598639455
lightgbm,random,indian,144,46,0.6231144631765749
lightgbm,random,rock,33,15,0.6222222222222222
lightgbm,random,dancehall,137,44,0.6193792766373412
lightgbm,random,swedish,130,24,0.6191037735849056
lightgbm,random,death-metal,173,19,0.6185919343814081
lightgbm,random,pagode,185,12,0.6180154142581888
lightgbm,random,anime,176,72,0.609642094017094
lightgbm,random,acoustic,189,60,0.6094315245478036
lightgbm,random,blues,153,53,0.6058490566037735
lightgbm,random,psych-rock,106,40,0.6053030303030302
lightgbm,random,british,159,78,0.6005064893953783
lightgbm,random,house,32,20,0.6
lightgbm,random,breakbeat,205,5,0.5980000000000001
lightgbm,random,brazil,161,6,0.5935483870967742
lightgbm,random,punk,39,9,0.5925925925925926
lightgbm,random,mandopop,186,64,0.5886270491803278
lightgbm,random,cantopop,186,14,0.5851328903654485
lightgbm,random,disco,151,35,0.5827586206896551
lightgbm,random,heavy-metal,177,5,0.5802325581395349
lightgbm,random,deep-house,157,86,0.57631837536849
lightgbm,random,metalcore,153,75,0.5758974358974359
lightgbm,random,sertanejo,164,16,0.5730574324324325
lightgbm,random,alternative,52,21,0.5729646697388633
lightgbm,random,club,190,11,0.5723717623158964
lightgbm,random,electronic,169,48,0.5712809917355371
lightgbm,random,groove,119,29,0.5693486590038315
lightgbm,random,folk,149,37,0.5658783783783784
lightgbm,random,guitar,172,2,0.5647058823529412
lightgbm,random,indie-pop,103,55,0.5642045454545455
lightgbm,random,malay,200,10,0.5621052631578948
lightgbm,random,"hip hop, pop",50,45,0.5599999999999999
lightgbm,random,dub,176,27,0.5560526969922943
lightgbm,random,new-age,188,8,0.5527777777777778
lightgbm,random,garage,176,60,0.551867816091954
lightgbm,random,goth,184,10,0.5505747126436782
lightgbm,random,trip-hop,165,23,0.5505205143906919
lightgbm,random,party,139,3,0.5490196078431372
lightgbm,random,"pop, Dance/Electronic",36,19,0.5479876160990712
lightgbm,random,singer-songwriter,79,55,0.543939393939394
lightgbm,random,techno,70,16,0.5428240740740741
lightgbm,random,soul,64,42,0.5411255411255411
lightgbm,random,children,194,38,0.536774628879892
lightgbm,random,synth-pop,150,37,0.5336044008610381
lightgbm,random,j-pop,131,41,0.5260162601626016
lightgbm,random,forro,205,2,0.5221674876847291
lightgbm,random,grunge,133,72,0.5138888888888888
lightgbm,random,emo,190,83,0.5127800923319445
lightgbm,random,"hip hop, pop, R&B",39,32,0.5
lightgbm,random,hip-hop,124,102,0.5
lightgbm,random,german,121,28,0.48963133640553
lightgbm,random,sad,103,49,0.4871504157218443
lightgbm,random,jazz,43,12,0.48655913978494625
lightgbm,random,rockabilly,133,18,0.48454106280193243
lightgbm,random,dance,78,36,0.4788359788359789
lightgbm,random,salsa,190,3,0.47593582887700536
lightgbm,random,rock-n-roll,154,26,0.46664663461538464
lightgbm,random,pop,114,89,0.46247191011235955
lightgbm,random,minimal-techno,155,6,0.4597315436241611
lightgbm,random,country,111,22,0.43590398365679267
lightgbm,random,chill,167,127,0.4086614173228347
lightgbm,random,"pop, R&B",33,26,0.3791208791208791
lightgbm,random,reggae,25,8,0.34558823529411764
lightgbm,random,honky-tonk,155,1,0.2532467532467533
lightgbm,grouped,comedy,224,4,0.9420454545454545
lightgbm,grouped,sleep,124,50,0.9267567567567567
lightgbm,grouped,classical,87,3,0.9206349206349207
lightgbm,grouped,honky-tonk,60,1,0.8813559322033898
lightgbm,grouped,heavy-metal,281,10,0.781180811808118
lightgbm,grouped,trance,150,17,0.7748783724015923
lightgbm,grouped,latino,69,29,0.7706896551724138
lightgbm,grouped,k-pop,107,73,0.7558420628525382
lightgbm,grouped,rock,46,13,0.7342657342657344
lightgbm,grouped,"hip hop, pop",39,34,0.7235294117647058
lightgbm,grouped,show-tunes,187,24,0.7231595092024541
lightgbm,grouped,hardcore,188,58,0.7042440318302386
lightgbm,grouped,new-age,85,3,0.6991869918699187
lightgbm,grouped,drum-and-bass,195,21,0.6765188834154352
lightgbm,grouped,minimal-techno,196,14,0.6758241758241758
lightgbm,grouped,german,142,21,0.6753246753246753
lightgbm,grouped,salsa,199,2,0.6725888324873096
lightgbm,grouped,techno,57,11,0.6719367588932806
lightgbm,grouped,club,139,7,0.6666666666666667
lightgbm,grouped,metal,24,17,0.6638655462184875
lightgbm,grouped,spanish,178,59,0.6624412476855149
lightgbm,grouped,industrial,232,93,0.6576158428096233
lightgbm,grouped,piano,135,81,0.6561499771376315
lightgbm,grouped,guitar,170,6,0.6554878048780487
lightgbm,grouped,punk-rock,171,40,0.6477099236641222
lightgbm,grouped,french,177,60,0.6418803418803418
lightgbm,grouped,garage,217,101,0.6383578012973712
lightgbm,grouped,dubstep,58,2,0.6339285714285714
lightgbm,grouped,"hip hop, pop, R&B",58,46,0.6213768115942029
lightgbm,grouped,folk,126,44,0.6158536585365854
lightgbm,grouped,swedish,164,44,0.6109848484848485
lightgbm,grouped,ambient,225,89,0.6107898215465962
lightgbm,grouped,j-dance,138,10,0.61015625
lightgbm,grouped,r-n-b,168,11,0.6056745801968731
lightgbm,grouped,metalcore,164,65,0.602952602952603
lightgbm,grouped,dancehall,133,17,0.6029411764705882
lightgbm,grouped,bluegrass,216,11,0.6004434589800444
lightgbm,grouped,progressive-house,140,63,0.5990517419088848
lightgbm,grouped,world-music,94,12,0.5985772357723578
lightgbm,grouped,hardstyle,168,21,0.5876255264010366
lightgbm,grouped,turkish,181,13,0.5828754578754579
lightgbm,grouped,alt-rock,138,47,0.5807809212064531
lightgbm,grouped,j-rock,85,9,0.5789473684210527
lightgbm,grouped,british,168,57,0.5772087877351035
lightgbm,grouped,electronic,182,51,0.5762610387666517
lightgbm,grouped,edm,100,63,0.5720720720720721
lightgbm,grouped,pop,152,108,0.570496632996633
lightgbm,grouped,dub,205,35,0.5703361344537814
lightgbm,grouped,hard-rock,122,73,0.5672351132233715
lightgbm,grouped,house,27,15,0.5638888888888889
lightgbm,grouped,anime,267,110,0.5618992472495656
lightgbm,grouped,emo,233,137,0.555580900243309
lightgbm,grouped,j-pop,134,55,0.5468354430379747
lightgbm,grouped,electro,73,53,0.5452830188679245
lightgbm,grouped,disney,170,12,0.5450949367088608
lightgbm,grouped,happy,336,12,0.5421810699588477
lightgbm,grouped,psych-rock,131,41,0.5395663956639567
lightgbm,grouped,j-idol,84,6,0.5384615384615384
lightgbm,grouped,acoustic,213,67,0.5357288897975874
lightgbm,grouped,deep-house,162,79,0.5346194906207107
lightgbm,grouped,mandopop,191,71,0.5342723004694836
lightgbm,grouped,"pop, Dance/Electronic",40,28,0.5267857142857143
lightgbm,grouped,funk,125,15,0.5266666666666666
lightgbm,grouped,power-pop,140,3,0.5255474452554745
lightgbm,grouped,alternative,38,20,0.5194444444444444
lightgbm,grouped,brazil,182,15,0.5193612774451097
lightgbm,grouped,sertanejo,113,9,0.516025641025641
lightgbm,grouped,groove,145,27,0.5134965473948525
lightgbm,grouped,hip-hop,157,140,0.5126050420168068
lightgbm,grouped,chill,198,137,0.5102309441187028
lightgbm,grouped,indie-pop,80,40,0.50625
lightgbm,grouped,country,166,32,0.5009328358208955
lightgbm,grouped,trip-hop,209,22,0.5002430724355857
lightgbm,grouped,latin,107,14,0.49654377880184336
lightgbm,grouped,singer-songwriter,99,56,0.4956395348837209
lightgbm,grouped,blues,109,55,0.49427609427609426
lightgbm,grouped,rock-n-roll,191,21,0.49103641456582625
lightgbm,grouped,death-metal,214,26,0.4893617021276596
lightgbm,grouped,cantopop,151,14,0.48592283628779975
lightgbm,grouped,opera,173,4,0.48520710059171596
lightgbm,grouped,dance,100,47,0.48213568847852273
lightgbm,grouped,afrobeat,206,4,0.4801980198019802
lightgbm,grouped,punk,25,5,0.48000000000000004
lightgbm,grouped,malay,206,14,0.4754464285714286
lightgbm,grouped,indian,133,56,0.47483766233766234
lightgbm,grouped,grunge,192,114,0.4736842105263158
lightgbm,grouped,disco,162,48,0.47240497076023386
