feature,importance_mean,importance_std,model
energy,0.01340000000000002,0.015892555909397747,logistic_regression
danceability,0.007800000000000021,0.016002916400873094,logistic_regression
loudness,0.005066666666666682,0.009574038971208648,logistic_regression
valence,-0.00039999999999997817,0.010071742649611314,logistic_regression
liveness,-0.002200000000000002,0.0037004504230341143,logistic_regression
acousticness,-0.002733333333333336,0.0019652537297311585,logistic_regression
duration_ms,-0.008533333333333311,0.0039642849992849016,logistic_regression
instrumentalness,-0.009599999999999958,0.006601010023726125,logistic_regression
tempo,-0.011133333333333295,0.005743015081141765,logistic_regression
speechiness,-0.0182666666666666,0.012140657130302088,logistic_regression
danceability,0.002533333333333336,0.0012578641509408816,random_forest
valence,0.0020000000000000018,0.0008944271909999168,random_forest
energy,0.0018666666666666684,0.001024152766382482,random_forest
speechiness,0.0016000000000000014,0.0008000000000000008,random_forest
acousticness,0.0015333333333333347,0.000845905169363302,random_forest
instrumentalness,0.001466666666666668,0.0011469767022723512,random_forest
tempo,0.0011333333333333343,0.0011175369742826816,random_forest
duration_ms,0.0008666666666666674,0.0009910712498212345,random_forest
loudness,0.0008000000000000007,0.000979795897113272,random_forest
liveness,0.000733333333333334,0.0014126413400278076,random_forest
