split,relevance,artist_excluded,baseline,n_queries,bootstrap_unit,recall_at_10,recall_at_10_ci_lower,recall_at_10_ci_upper,recall_at_50,recall_at_50_ci_lower,recall_at_50_ci_upper,ndcg_at_10,ndcg_at_10_ci_lower,ndcg_at_10_ci_upper,underflow_rows
random_stratified,genre_or_artist,False,audio_genre,7645,query,0.0186099444748471,0.017566233578839043,0.019743135177325667,0.08412237664281154,0.08180708607514509,0.08655698470898998,0.23120469121997786,0.2252949847286279,0.23718700736609794,0
random_stratified,genre_or_artist,False,audio_genre_weighted,7645,query,0.018207200524095263,0.017111509497831252,0.01938290605229238,0.08508682909184032,0.0827688725908156,0.08743755647180852,0.23001577458102815,0.22389792843844347,0.23640978741073998,0
random_stratified,genre_or_artist,False,audio_only,7645,query,0.0014729668327172955,0.001292669148449421,0.0016606954534136426,0.006341194068093482,0.0058469894681120425,0.006843374760674644,0.02079904268030155,0.019128343923052762,0.022450023841784413,0
random_stratified,genre_or_artist,False,audio_only_weighted,7645,query,0.0011340677009101425,0.0009913837267955697,0.001292099647691685,0.005168930118369778,0.004742528683674459,0.0056076803943609956,0.017251541806939302,0.015891986772746555,0.018687724582612465,0
random_stratified,genre_or_artist,False,genre_only,7645,query,0.0179587004256649,0.016941410999541832,0.018982165824070207,0.08544833969458324,0.08335172796539919,0.08755228775842507,0.22488565625316095,0.21942695160237305,0.23041243388252616,0
random_stratified,genre_or_artist,False,popularity_only,7645,query,0.00039447120230309916,0.00031514282424773677,0.00048449938476108546,0.001566379587767435,0.0013485425514147289,0.0017780126292641302,0.006261292973943489,0.005365348160625133,0.007147086575078254,0
random_stratified,genre_or_artist,False,random,7645,query,0.00012663013922834638,9.563523562766033e-05,0.00015800722810883116,0.0006448172604597787,0.0005674852012186411,0.0007283027980183725,0.0018730965081440903,0.0015484355163134541,0.002213803378257825,0
random,genre_only,True,audio_genre,7590,query,0.01848785362768868,0.017508618740768644,0.019490572462065002,0.08654470374370249,0.08438020164489313,0.08870706169596622,0.22771700722501267,0.2216975031704968,0.2336819894851604,0
random,genre_only,True,audio_only,7590,query,0.0013983581724714782,0.0012090597034282256,0.001605546436436544,0.006152360606679453,0.005699632115288796,0.006668525469664794,0.017317569634088422,0.015782297684984976,0.018745057814269352,0
random,genre_only,True,genre_only,7590,query,0.019104306457016777,0.018148927057844835,0.020136354480236582,0.08797112952274173,0.08591103421341272,0.09006068493631464,0.2291220979020227,0.22376305440811745,0.2345802080674419,0
random,genre_only,True,popularity_only,7590,query,0.0005506387536074593,0.00042120969409607133,0.000667142910967083,0.0019787264218133647,0.0017357689208435537,0.0022579858863979296,0.0066183068391251635,0.005699405034470177,0.007672491028361851,0
random,genre_only,True,random,7590,query,0.0001483511731524966,0.00010696672373351484,0.00019551831680422274,0.0007094383282813891,0.0006135484483206176,0.0008181586585852328,0.002053498205776454,0.0017119998993696092,0.0024599606959547974,0
grouped,genre_only,True,audio_genre,7809,artist,0.018041049768538268,0.01695300464442077,0.019202569483272452,0.08564361719482459,0.08209506556366429,0.08908946476187522,0.2395566381455687,0.2231984768488783,0.2577251551906971,0
grouped,genre_only,True,audio_only,7809,artist,0.0012583906731364917,0.0010874574264623695,0.001432208211422567,0.005563152484563744,0.004939300050827165,0.006310659938039613,0.016474367180424953,0.014440217576277658,0.01874859136066659,0
grouped,genre_only,True,genre_only,7809,artist,0.01823044168577418,0.017269754148572316,0.019374710590871924,0.08657572544056338,0.083801330547278,0.08950804733365499,0.23502710999140963,0.221422791523419,0.2512297075692429,0
grouped,genre_only,True,popularity_only,7809,artist,0.0006181888759352802,0.00041296292411103174,0.0009040268166693098,0.0022677363709575466,0.0017380551130267692,0.0029762814730069287,0.008515903989496991,0.006244065845951544,0.01092920405518881,0
grouped,genre_only,True,random,7809,artist,0.00014990235710769396,0.00011477119078313669,0.0001882009450085116,0.0008150731712026659,0.0006381468700578692,0.0010726752361168571,0.0021686319796715733,0.0017762408436955372,0.002636010863766214,0
